	clean_tweets	label
56	 and ima steal his cat n replace it with a pitbull     he a bitch you should do it	0
57	 hes gone always be a hoe	0
58	son of a bitch took my tic tacs i like this movie	0
59	all i wanna do is get money and fuck model bitches  russell simmons	0
60	 i probably wouldn mind school as much if we didn have to deal with bitch ass teachers retweet	0
61	 im a fucking fag they said	0
62	 females think dating a pussy is cute now  how does doing this stuff make him a pussy	0
63	 simplyaddictedtoguys  woof woof hot scally lad	0
64	 have ya ever asked your bitch for other bitches  kanye voice yes	0
65	 how u gone bring ur side bitch to a game where you know ya gf friends at   i swear	0
66	  woof woof and hot soles	0
67	 lemmie eat a oreo  do these dishes one oreo lol	0
68	   bitch fuck u  maybe youll get better just 	0
69	 fuck red malone man bitch ass niggah could you please use complete sentences	0
70	 why the eggplant emoji doey he say she looked like scream lmao	0
71	 hennessey venom gt   thats one sexy bitch	0
72	 him seh me pussy wetter then a shower cuain	0
73	  and every  need to see that pic i just posted because that bitch just said the most racist shit	0
74	 yo fuck skateboarding all yall some wood pushing faggots man ball is life  	0
75	 baby monkey bathtime  awwwwe this is soooo adorable	0
76	  i aint shit  damn skippy lol	0
77	 u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance	0
78	   rings mvps bitches lol	0
79	 ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn 	0
80	 the facts on tattoostattoo  hes a pussy with not tattooing them nipples	0
81	    bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches	0
82	 get worshiping bitch  woof woof	0
83	 wow   im lost are those buttcheek piercings  yeah shes a hoe	0
84	 ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her	0
85	   queer gaywad	1
87	  faggot read my tweets after dat k it wasnt even funny lol	0
88	 this bitch was so ungrateful  fr  lulwhore	0
89	 i been kidnapped yo bitch	0
90	  alsarabsss hes a beaner smh you can tell hes a mexican	1
91	  happy bihday nigs thanks yo	0
92	 when ur teacher tells u that u have homework httpstco this bitch need to go	0
93	   that nigga was eating that hoe lol hell yea lol john paul nigga said john paul 	0
94	 what would yall lil ugly bald headed bitches do if they stop making makeup  weave	0
95	 leafs better win this damn game so i can go riot and shit  you better sta looting my nig	0
96	 going back to school sucks more dick than the hoes who attend it	0
97	 on my way to fuck yo bitch  me as a year old	0
98	  how come you never bring me food i dont have a car retard	0
99	 if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like prople	0
100	 how bout them cowboys shutup pussy	0
101	 lmaooooooooooo this nigga  aanpsujmyi ltbitch want likes for some depressing shitfoh	0
102	  girl you know i was spitting that g shit to you  you was going lbvsbitch plz	0
103	 let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again	0
104	 harlem shake is just an excuse to go full retard for seconds	0
105	 amen miley  okay but she dont need to act like a hoe just bc shes emotionally damaged foh	0
106	 having one loyal female is wayyyyy better than having hoes  idc 	0
107	 pussy licking pussy meow meow   httpstco 	0
108	 check out our man  even with all those faggot ny fans in the stands	0
109	 what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch	0
110	  im the bitch okay nudes pat  wow	0
111	  youre fucking gay blacklisted hoe holding out for  anyway xuccwoetmn	1
112	 the fuck be wrong with these bitches nobody knows	0
113	 yall shut upp make me bitch	0
114	 i hate a im pregnant type of bitch	0
115	 got bitches in the dm but i dont ever readem which is y your top 	0
116	 baseball season for the win  this is where the love staed	0
117	 little stupid as bitch i dont fuck with yoooooouuuu	0
118	 she really asked me that dead ass serious tho all i could say was bitch wheet lol	0
119	 im an early bird and im a night owl so im wise and have worms	0
120	 overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day	0
121	 pit bulls photographed as lovely fairy tale creatures  they are fairy tale creatures	0
122	  aw fag dont tweet aw to me lol	0
123	 as long as the lakers trash from now on i could careless and thats real cc  hahaha	0
124	  i didnt say anything tho kiss me then faggot	0
125	 this the i play soccer cheat on girls and wear khaki coloured cargos haircut   yup	0
126	 i could go for a fat ass bitch on my lap same	0
127	 missed calls  yo po bitch twitter finna be screamn 	0
128	 ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 	0
129	   amo los pies  fuck yeah	0
130	 these hoes be thinking meat wont slap they ass  ainna bruh	0
131	 yall bitches wit no edges be doing the most talking 	0
132	 yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit	0
133	 i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck	0
134	 if she kiss u with her eyes open watch that bitchlmfao	0
135	 you a woulda coulda shoulda ass hoe 	0
136	 happy bday bitch ass nigga  that bitch roll up	0
137	   used to send that bitch up	0
138	 ugly bitches be like im my own wcw duh bitch you aint nobody elses	0
139	  nigga you know we hacky sack hoes nah i throw no look passes lmao	0
141	 glad im getting outta atlanta nothing but a bunch of niggas in  outta jail  dumb bitches with mad kids fuckin em	0
142	 this isnt ghettoits sma httpstco im doing this idc	0
143	 i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place	0
144	 being single isnt an excuse to be a hoe 	0
145	 white boy power bitch black power bitch	0
146	 lets get drunk get blowed spit shit spark blunts  fuck hoes bro white dudes have no chill	0
147	  bitch where u been around the world and back where you been	0
148	  if i dont get my dick sucked at yo pay by a bad bitch im fr gone set it off  by  	0
149	  is soooo cute but he probably has hoes on him a lot	0
150	 in every caoon theirs alway a  saving these hoes lmao  lmao damn captain saveahoe	0
151	 who wants to get there nose in these bad bois then      hot sox and legs	0
152	 i wish i was a bitch like my brother keezy  ooooow i bet you do	0
153	 if you dressed up as a cat for halloween you are basic or a pussy	0
154	 can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt	0
155	 stop being scared to choke her during sex u bitch ass niggas she like it says the guy who hits women out of bed foh	0
156	  ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig	0
157	  oh man its am you off a molly ho where the fuck ya seed at 	0
158	 youre not a man if you refer to every girl as a bitch	0
159	 lmfao this cat staed beating the shit out of me my nigga finally got some pussy my nigga	0
160	 peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash	0
161	  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha	0
162	  naw its my old tape new cover  my upcoming mixtape is  yeah im waiting on that hoe mayne	0
163	 ol diy foot ass bitches this was too funny to me	0
164	  thats where i get my yellow flags for being amazing  hell yeah niggy	0
165	 dont got time for bitches to be actin iffy	0
166	  come on stay alive knights nation this is still the early bird special 	0
167	 these hoes aint loyal  no they aint  smfh  wonder why nobody decent wants them	0
168	 bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe	0
169	 dry pussy bitches always blame it on the condom	0
170	 shut yo bitch ass up httpstco 	0
171	 gucci mane in jail and dropping mixtapes every month and you hoes cant even text back	0
172	 you love these hoes more then money wats wrong these niggas	0
173	 a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol	0
174	 easy cum easy hoe thats a fact 	0
175	 charlie sheen is too real  major fucking respect for charlie sheen	0
176	 wish i had a bae  you got all the hoes tho	0
177	 fuck twerking bitch can you cook 	0
178	  bitch wtf dasmycxodb	0
179	   shut up zoe fight me pussy for zoe im good man you are good maam move along now	0
180	 lmao fucking snake bitches  em	0
181	 big booty hoes everywhere sheesh  damn 	0
182	 stay tuned to  for an update on the repo that   will be out  weeks  	0
183	  i play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao	0
184	 oregon chokes every year get off the field trash ass program rft	0
185	 def not cowboy lol   terrell owens was the best eagle  cowboy ever dude cried like a bitch on tv over romo	0
186	 lmfaoooo i hate black people httpstco this is why theres black people and niggers	1
187	   how could u do this to me bitch potent	0
188	  a pissed lad past out i would lick his diy soles while he slept	0
189	 prrskknqrv love frat boy w soft long soles	0
190	  sexy lad with hot soles and arches	0
191	  nah fam i gotta cheat with the hoes depends on the female i feel	0
192	   i got hicks lol	0
193	 this new twitter is confusing the shit out of me go back to south america bitch	0
194	 toto means ass or vaginai think pussy cause toto santi is like nasty pussy	0
195	 but what if he actually does choose the ugly bitch over you  ass must be fat	0
196	 bitch couldnt kill my vibe if ya tried  dis why i love miley 	0
197	 im tired of bitches saying i look mean  nigga you big af wear tight shis and grim everybody	0
198	 birds your grandkids may never see thanks to climate change xqmxhkaswt rbitegrnhm 	0
199	 stay beautiful you bitch	0
200	  r purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls	0
201	 money getting taller and bitches getting blurry	0
202	 i aint never seen a bitch so obsessed with they nigga im obsessed with mine 	0
203	 kobe stay talking trash but lets not forget   i meant to do this one smh	0
204	 at least im not a nigger  lmfao	1
205	 people always asking me what im mixed with she a bad asian bitch lol	0
206	  ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo	1
207	  fosters home for imaginary trash whoa chill that show was everything tf	0
208	 i am lowkey tired if you tired be quiet and go to sleep hoe	0
209	  stop bringing weird niggers into my mentions  cussdjesrk	0
210	 we dont love these hoes 	0
211	 if yo girl cant have homeboys you a ol weak bitch ass nigga	0
212	  i think worst advice i gave you was  dont be a pussy and speed up lol	0
213	 quote this tweet with your favorite animalpussy	0
214	 i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper	0
215	 andrewbryant poff has double vision after beers poff  double pussy  smh	0
216	 when bitches twerk on the computer me in ya  in ya damn 	0
217	    prince this is a ephrwxmbhr nobody takin his bitch	0
218	  of welfaregovernment aid is claimed by white people so yall black slander is trash now	0
219	 these bitches dont care they just play that role	0
220	 it took a while for you to find me but i was hiding in the lime tree  dis bitch in da wrong tree bro	0
221	 drakes new shoes that will be released by nikejordan yes theres glitter on the shoes qctplxhexm dudes a fag	1
222	  inna di ghetto you alone lmaoo	0
223	    hoes austin teach us austini teach u how to get curved thats all i know	0
224	 bitches cant cook but know how to suck dick  so to the ones that can do both	0
225	 fat hoes get chose lol	0
226	  well theyre hoesno one expects them to be loyal	0
227	   ol bitch ass 	0
228	 bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo	0
229	 just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you	0
230	  holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing	0
231	 i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot	0
232	  one of your followers with this    somebody bitch if you dont	0
233	 if ya bitch always bitching clearly she care or just an annoying bitch	0
234	 these catfish hoes thinkin they slick but niggas catching on 	0
235	 cant worry about a bitch that aint worried bout me 	0
236	 side hoes are for insecure niggas that cant handle a real one	0
237	   lmao this bitch come scooting in the tent like she about to fuck some shit up 	0
238	 my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 	0
239	 im hungry but ionn wanna spend my money on food hoe problems 	0
240	 dese hoes be lyin to all of us nigga	0
241	  oh yeah fuck that bitch	0
242	 eli manning just threw his nflleading interception of the season lmao trash	0
243	 usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team  joosdsubir hes a bitch	0
244	 guess what i also have zero time for your mansplaining adios stfu pussy	0
245	 chilling   sexy scally lad	0
246	 i aint sharing no bitch if you mines you mines 	0
247	 money only impress the simple broke bitches	0
248	  will never be anybodys bitch they dont let people control or change them rigghhht	0
250	   tuku ho idk blah blah blah 	0
251	   im not mad cuh hahaha suure tuku ho ita 	0
252	 these hoes is crazy	0
253	 you aint ever gonna be a slice bitch kevin ha 	0
254	 oomf so fuckin fine tho  dam  her dont be no bitch	0
255	 i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags	0
256	  yeah bitch yeah bitch call me  a maybe b steveo c later d jesse pinkman 	0
257	 hickies in between her thighs right by her pussy gtgtgt its only right	0
258	 would you still love me when im no longer young and beautiful no ugly monkey ass	0
259	   yall come through the frontbitch i aint coming	0
260	  faggot bitch 	0
261	  yea im on my ipad i dont work this friday lets ball this faggot up  work 	0
262	  this scally lad would get it	0
263	   halloween was yesterday stupid nigger	1
264	 chrus still supahot tho walks up to teacher with test drops test in that bitch fohead 	0
265	  i love eating pussy lol i never get full lol i can eat that shit forever lol and ever	0
266	    no slushes  nasty anyway fam hoes taste like meds	0
267	  no slushes  nasty anyway fam	0
268	 bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout	0
269	 yo bitch is gucci mane    my bitch a stoner  	0
270	 i can ride your bitch with no handle bars	0
271	 and if you aint a hoe get up out my traphoussseeeee	0
272	 sad tv character deaths were still bitter over  ned stark was the man	0
273	 these harbor bitches are all pay bus hoes lol all	0
274	  pussy love it	0
275	 ultraviolence video its coming you little bitch  lana del rey  bitchy promo	0
276	 on my way to fuck your bitch httpstco lmfao kittycopter	0
277	 a smuggler explains how he helped fighters along the jihadi highway 	0
278	  aww their avis look so cute together    do i gotta get ike avi on this bitch 	0
279	  its simple dont be a hoedont worry about being exposed  fight mewhy 	0
280	 whys this bitch boosting herself  her size isnt exactly the most healthy tho	0
281	  bet not be no bitches   kim bye	0
283	 damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco	0
284	 im making marack my girlfriend   aye b you pullin hoes just like o taught you	0
285	 bruno fag boy you love me	0
286	  i must be a bitch you are  sike naw this why we always beefing 	0
287	 down   look to rally in the bottom of the  	0
288	  dont take advantage of a nice person hoes everyjuan	0
289	 happy bihday bitch nigga  thanks pal	0
290	 sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday	0
291	  cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca	0
292	  ewww i said that last sundayas in the last sunday i was there read it again nigs	0
293	 i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake	0
294	 my pussy still fresh lt something stank girls say	0
295	 ass slapping is one the greatest things haha  i slapped a girl on the ass  she got mad i aint get pussy for a week	0
296	   yeah texans are so much better you fucking retard i see that youre mad about this	0
297	 nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackmilds out here	0
298	 theres a lane some bitches need to stay in  the left n get right the fuck outta our face 	0
299	 i hate when boys deny that they have bitches  smh	0
300	 ya nigs out there still saying yall dont eat butt with a straight face	0
301	 im a boss ass bitch that needs to sit in a corner	0
302	 hes a hoe  i cant	0
304	 me and paul thinkin bout gettin rentals for da weekend  shit bitches betta stay out da streets	0
305	 bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 	0
306	 why do my friends hate me because you a ratchet hoe	0
307	 no love for these fuck niggas hoes	0
308	 hot meat  sexy as fuck scally lad i would love to meet him and his trainers	0
309	 sniff fhhbbrmybn perved up scally lad fuck yeah	0
310	 these bitches love sosa	0
311	  i legit watched it for about or seconds  did i wtf prob cause were retarded smh	0
312	 what should i name my cat ideas mr pussy	0
313	  woof woof sexy thug boy scally	0
314	  u see the damn phone ringing  when you married bitches makes demands you havent called me	0
315	 tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe	0
316	 sex positions  naw this what u call fucking the soul outta bitch 	0
317	  is bored supposed to be cute you faggot sometimes	1
318	 one mans trash  is another mans treasure 	0
319	 i dont got no type bad bitches is the only thing i like iongotnotype	0
320	  lassen cc  the coach wants me i feel it youll get more my nig no doubt	1
321	 god teeth  gold chain white bitches  cocaine	0
322	 its me hoe its me hoe shhhhh	0
323	 in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe	0
324	 im gonna miss that bitch of a bus driverno you wont dont lie	0
325	 hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone  on my soul	0
326	 ashley young has tried to deny that bird s landed in his mouth gt  httpstco hahaha	0
327	  yall both gimped up aint tht a bitch huh lol	0
328	  take me for a ride   woof woof	0
329	 oh my god i love victoria mitchell all my bitches love me	0
330	 that long distance shit wack i knew the bitch was cheating uh oh	0
331	 hes doing it right  jzkkivuvjc no bitches smh	0
332	 they ban dat pussy for life  he gotta pay  millon dollar fine	0
333	 roses are red and violets are blue and niggers are black you know thats true 	0
334	 sitting on my window sill window open bird tries to fly in smacked it  	0
335	 but a nigga gon be a nigga be a nigga you sound fuckin retarded	0
336	 a video an entire media will likely mock  i am such a crybaby	0
337	   im not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup	0
338	 tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh 	0
339	 karma is a bitch    sips tea	0
340	 fuckin hot gym pussy zvymcxquta fuck yeah	0
341	 jihadi patron hajjaj alajmi is arrested at kuwait airpo httpstcozmlokfwdql	0
342	 you can call me fireman cause i turn the hoes on	0
343	 i could never have a bby by a lil dick thts y i got a aboion by the last bitch oh my god	0
344	 watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that	0
345	 and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded	0
346	 tweety bird tho 	0
347	 my pussy sweet like watermelon  thotermelon	0
348	 when twitter rappers dm me their trash links 	0
349	 loud bitches annoy me	0
350	 eventually every bitch turns into that hoe  truuu	0
351	   i swear if oomf try talking to me tomorrow   pussy	0
352	 you bitches be pretending to be tf crazy you aint never lied	0
353	  k bye hoe um bye 	0
354	 jackies a retard  at least i can make a grilled cheese	1
355	 ima keep on giving these pussy ass niggas ah reason to hate 	0
356	 photo  he is in sole heaven	0
357	 stacey dash won   baddest bitch evaaaa	1
358	 side bitch sunday  	0
359	 facts what baldheaded bitch made this shit   lmao 	0
360	 fuck wit us and then we tweakin hoe shmurda	0
361	 we actin like its the day   	0
362	 ill break that lil bitch neck and wont even feel sorry about it savage	0
363	 this is so fucking hot      tubivxbxco love me some kinky scallies	0
364	 yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too	0
365	 i can turn yo bitch into a eaterrrrrrrrr	0
366	 i dont trust dese hoes nikki told where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn	0
367	  aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard	0
368	 now u got what u want bitch  enjoy it  now this is a crazy pay i would love to attend	0
369	 colored contacts in your eyes blinders on mine cause i cant see you at all lmao	0
370	 facts  only the dudes with hoes say they dont got hoes 	0
371	 im rea sta smacking bitches period  bluffin at its best	0
372	 lifes a bitch and then you die thats why we get high cause you neva know when youre gonna go my sister is perfect 	0
373	 one of us is on drugs and its me but youre still wrong   hahahahahahah im a bitch sometimes 	0
374	 im feeling pretty fuckin ghetto smh	0
375	     swears im  man easily easily behind austin nip	0
376	 this is a true ride or die bitch   what the fuck hahahahah	0
377	 hgwells and charlie chaplin   	0
378	 all i see is brunos bitch ass on my twitter now wtf brunos all that she sees 	0
379	  im about to cool faggot chill tf is cool nigga	0
380	  im so sure bitch frfr tf	0
381	 twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet	0
382	 got a couple bitches saying they know me but i let the money talk for me  and im like 	0
383	 grudges are for weirdosand bitches	0
384	 i told mariam to but cigarettes for her bihday you also called me trash rn	0
385	  brownies tonight what kind	0
386	 no text back i dont give a fuck ill text another bitch damn someone is hu lol	0
387	 ummmmmm okay  you got hoes from left to right  do yah thang	0
388	 using ymxb to find the slope of that ass	0
389	 fit lads nice gear  these scally lads n trainers would get it	0
390	 hell yeah bro  fuck yeah sexy scally lad in hot gear	0
391	 helping out a mate  i love scally play fuck yeah	0
392	 lads being lads  fuck yeah i love scally lad action hot trainers too	0
393	 next year bitches is gonna be like you gotta promise you wont expose me 	0
394	  so hot   lick it bitch jloukqdcom fuck yeah eat that trainer u diy fucker	0
395	  yall think celebrity pussy different from the locals  yeah meghan goods is	0
396	 i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it  lmaoo	0
397	 need these sox  fuck yeah i love a kinky scally lad w rank sox and sneaks	0
398	 i dont ever expose females like that thats childish bitch nigga shiiii	0
399	   yasss trys new things with bestfriend bitch who do you love	0
400	 dude remember this wop video   omg where did you find that	0
401	 thick raw fuck  damn his man pussy is getting a workout	0
402	 rawr   my sexy french scally i love him   sexy scally woof woof	0
403	 nothin in life is free some of you bitches need to write that on ya panties	0
404	  if one of you bitches want some of my burrito u can catch me at potosino huh haha	0
405	 niggas whole hoes out here cuz couldnt had said it better	0
406	 hardcore way to eat mac and cheese  boil water  sno cheese powder  drink boiling water  fuck bitches	0
407	  if my fade is perpetually fresher than yours thats a real ass bitch rite there	0
408	 annoying bitch that i love  judyanns so pretty	0
409	 aqkgorauxx lmao bitch got on some huggies	0
411	 hi bitch no bitch bye bitch rbcrxmqp	0
412	 does he look like a bitch 	0
413	 chase money  not  hoes  	0
414	 cant stand a i dont know what i want ass nigga  bitch	0
415	   im on my way mqczuxlbtt love a  sexy scally fucker	0
416	 these newly gay bitches dont kno how shit works	0
417	 when a bitch dont want a real job they just become strippers lol lol	0
418	 awww meat meat in his feelinsi ainn n my feelings bitch	0
419	 i want snake bites  my industrial piercin  a tattoodem hoe accessories dea 	0
420	 baby albino   	0
421	 these hoes aint loyal	0
422	 yassssss ordered chinese  bitch you just ate tacos you fat fuck	0
423	 i made that bitch lunch  bitches love lunch	0
424	a no brainer but as soon as this bitch gets rich in political power her views will change political whores ekepsjwcyu	0
425	a pussy a day keeps the devil away 	0
426	aint that about a bitch what does that mean	0
427	all these bitches want a baby i dont want no children	0
428	and bitch you must be lost 	0
429	baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said i aint real if you do	0
430	bae sounds like such a ghetto word use something else	0
431	batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls ive nailedive moved onstop being a pussy n do it urself	0
432	bleed out hoe alexa	0
433	boolin in the bando wit a few bitches	0
434	brownies for my brownie i love this movie 	0
435	but i need a bad bitch thats hotter than me might be the realist shit paynextdoor ever said thats how i be feelin everyday	0
436	by the way we do punch bitches	0
437	caesar is home    httpstcotheres so much this bitch looks like lets sta with ape shit	0
438	chinese maverick we were communicating comrade  u know giving the imperialist yanks the birdie httpstco	0
439	dad say hi to my snapchat dad  duces bitch 	0
440	do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunchthese hoes	0
441	dont know no ugly bitches dont know no broke niggas	0
442	dont make me make you fall in live with a nigga like meee the birds  are my favorite songs by weeknd	0
443	dont worry about the nigga you see worry about the nigga you dont see dats da nigga fuckin yo bitch	1
444	dont you ever give my pussy away you keep it tight alright	0
445	dropped a stack cause bitch im on  song called dope download the mixtape here 	0
446	dumb bitches do dumb things	0
447	eat the pussy like a real nigga hungry	0
448	eff it lets go after the cripple 	0
449	everything look better with a bitch next to it	0
450	facto  who cares if you a hoe when your ass looks like this 	0
451	for every bad bitch there is a nigga tired of fucking her	0
452	foreign chick no lie man that bitch beautiful	0
453	fresh nigga so you kno i need a clean bitch who kno im working cuz i wanna see my team rich 	0
454	fuck  i make my own rules suck my dragon balls bitch call me goku	0
455	generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird  	0
456	get me that shit bitch you is fine bear	0
457	get your ass back to detroit ya fuckin wigger	0
458	girls that i dated its okay i aint mad yo unless you stabbed me in the hea no love hoe	0
460	how do you know my twitter password bitch please	0
461	have you seen my shows have you seen my hoes if i wasnt hot would they be so thick	0
462	he a bitch for hitting that hoe 	0
463	he married to a white woman lucky sumbitch  uncle ruckus	0
464	he wanna be my nigga but im just trinna be his savings account   omg imma funny ass bitch man but thats real shit 	0
465	her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe its a long line of hoes grandpa carl everyone	0
466	hey go look at that video of the man that found the kidnapped girls in ohiowhat a nigger  	1
467	hey pussy you still there	0
468	how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their 	0
469	how hotter than is it a bitch	0
470	how u talking to hoes bout bro n em why you talking to hoes bout bro n em	0
471	how you doing crazy bitch is hilarious	0
473	i know my shoes diy as fuck whatever bitch you dont have to call like negro one of the first things they look at is shoes dog	0
474	i am a thrill billywith a hillbilly hea  hahahahaha jesus murphy	0
475	i call him my bitch 	0
476	i cant handle no liquor but these bitches cant handle meeedd  chief sosa	0
477	i dont chase after dudes i chase after bitches  edgar bautista	0
478	i dont love these hoes baby its me and you forever	0
479	i dont even need a picture of tamar that bitch is beat in every picture	0
480	i dont have hoes 	0
481	i found a new way to chug you have to open your mouth alot 	0
482	i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her	0
483	i got a bitch set it off like jada picketqueen latifah you riding round with your nieces bitch you titi	0
484	i got a sister she told me stop calling women bitches	0
485	i guess this is the night bitches die stewie is that nigga	0
486	i had a bitch that had a bitch had the bitch eating halibut     	0
487	i have this ladylove shes married but i still wanna bang her she wont have sex with me what a bitch a troubadour probably	0
488	i heard you was looking for candy man bitch	0
489	i hope you dont get mad ladies i only call you bitches bitches bc i dont know your names individually katt williams 	0
490	i just got a number im a bitch boy	0
491	i know that shit eatin grin you either just fucked the girl of your dreams or you sold a car we know youre a faggot whatd you sell	0
492	i only be with older men cause theyre more mature that supposed to fool us bitch	0
493	i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand	0
494	i said i dont like it it tastes like wolf pussy what how do you even know what that tastes like	0
495	i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie 	0
